sample_count,mean_acceleration,std_acceleration,max_acceleration,sedentary_percentage,light_percentage,moderate_percentage,vigorous_percentage,participant_id,hour
4443,2.8487283367094305,7.324618187200685,231.3,89.78167904568984,9.678145397254108,0.42763898266936756,0.11253657438667568,1067459,0
4232,2.8118620037807185,6.441180598213157,139.1,92.20226843100188,7.088846880907372,0.5907372400756143,0.11814744801512288,1067459,1
4393,3.177782836330526,8.304904672675567,240.2,87.77600728431597,11.563851582062371,0.5007967220578192,0.15934441156385157,1067459,2
4358,2.854336851766866,7.271906715171587,178.0,91.05094079853143,8.260670032124828,0.5048187241854061,0.18357044515832951,1067459,3
4635,2.7710679611650484,7.043430383670632,254.1,93.00970873786409,6.429341963322546,0.4746494066882417,0.08629989212513485,1067459,4
4440,3.6326126126126126,12.04797739607232,149.4,92.63513513513514,4.774774774774775,2.2522522522522523,0.33783783783783783,1067459,5
4813,16.133575732391442,43.9770472470841,1128.7,60.39891959276959,28.11136505298151,8.767920216081446,2.721795138167463,1067459,6
4924,34.51108854589764,73.13898980079574,1344.0,42.01868399675061,30.320877335499596,20.61332250203087,7.047116165718928,1067459,7
5040,35.917996031746036,53.574154341875705,907.3,29.325396825396826,40.95238095238095,21.56746031746032,8.154761904761905,1067459,8
4801,36.202062070402,50.078090705054336,545.3,30.868569048114974,41.03311810039575,17.371380962299522,10.726931889189752,1067459,9
5033,32.395648718458176,40.969531591426986,420.0,25.650705344724816,47.02960460957679,19.252930657659448,8.066759388038943,1067459,10
5040,37.54035714285713,60.46721424936492,659.4,31.46825396825397,38.2936507936508,20.992063492063494,9.246031746031747,1067459,11
5040,22.27581349206349,30.232442504872417,435.7,35.773809523809526,45.932539682539684,15.416666666666668,2.876984126984127,1067459,12
5040,16.507638888888888,30.634507947387803,686.1,51.11111111111111,37.242063492063494,9.365079365079366,2.2817460317460316,1067459,13
5040,15.400892857142857,28.802683959845766,514.8,56.34920634920635,32.16269841269842,9.126984126984127,2.361111111111111,1067459,14
4898,19.141731318905673,32.3684885415311,501.1,48.142098815843205,36.72927725602287,12.372396896692528,2.7562270314414046,1067459,15
4956,24.336622276029058,39.783275096553545,659.5,45.90395480225989,34.725585149313964,13.216303470540758,6.1541565778853915,1067459,16
5040,40.34726190476191,49.418235388661984,1350.3,18.313492063492063,43.01587301587302,31.825396825396822,6.845238095238096,1067459,17
5040,26.241230158730158,40.443409566101266,669.7,32.361111111111114,46.98412698412698,16.408730158730158,4.246031746031746,1067459,18
5040,11.914285714285715,27.584933560214452,775.8,62.93650793650794,28.134920634920636,6.924603174603175,2.003968253968254,1067459,19
5040,6.658968253968253,17.271165343969653,289.2,77.22222222222223,19.265873015873016,2.6587301587301586,0.8531746031746031,1067459,20
5040,9.35892857142857,20.05622320742269,321.6,69.22619047619048,24.54365079365079,5.158730158730158,1.0714285714285714,1067459,21
5040,13.85640873015873,32.251316511872275,483.6,71.5079365079365,17.16269841269841,8.472222222222223,2.857142857142857,1067459,22
4179,3.0560660445082553,12.008440402937742,336.8,95.30988274706867,3.1586503948312994,1.2203876525484567,0.3110792055515674,1067459,23
