date,total_samples,wear_samples,wear_time_hours,mean_acceleration,max_acceleration,imputed_samples,data_completeness,high_activity_minutes,moderate_activity_minutes,light_activity_minutes,sedentary_minutes,participant_id
2015-08-06,10080,9947,13.815277777777778,20.347461546194832,1350.3,0,0.9868055555555556,26.0,109.83333333333333,332.1666666666667,360.9166666666667,1067459
2015-08-07,17280,16988,23.594444444444445,16.157152107369907,907.3,0,0.9831018518518518,47.75,115.41666666666667,377.0,875.5,1067459
2015-08-08,17280,16511,22.931944444444444,16.917370238023135,867.4,0,0.9554976851851852,47.666666666666664,124.41666666666667,371.5,832.3333333333334,1067459
2015-08-09,17280,16046,22.28611111111111,15.711847189330676,1143.7,0,0.928587962962963,36.5,133.5,291.0833333333333,876.0833333333334,1067459
2015-08-10,17280,16704,23.2,16.739289990421458,1128.7,0,0.9666666666666667,37.083333333333336,154.25,381.5833333333333,819.0833333333334,1067459
2015-08-11,17280,16628,23.094444444444445,24.68589126774116,1190.3,0,0.9622685185185185,99.91666666666667,168.16666666666666,354.75,762.8333333333334,1067459
2015-08-12,17280,16539,22.970833333333335,18.841066569925633,1344.0,1117,0.9571180555555555,40.0,173.66666666666666,388.0833333333333,776.5,1067459
2015-08-13,7200,6182,8.58611111111111,11.490391459074731,200.0,2617,0.8586111111111111,1.8333333333333333,39.833333333333336,151.91666666666666,321.5833333333333,1067459
