sample_count,mean_acceleration,std_acceleration,max_acceleration,sedentary_percentage,light_percentage,moderate_percentage,vigorous_percentage,participant_id,hour
4098,2.873962908735969,8.442826884977976,180.3,96.9741337237677,2.025378233284529,0.7808687164470474,0.21961932650073207,3396599,0
4079,2.696935523412601,6.712445010730487,198.8,92.84138269183624,6.5212061779848005,0.5148320666830105,0.12257906349595489,3396599,1
4337,2.8798017062485592,8.883950850255196,187.3,92.39105372377219,6.755821996771962,0.6225501498731842,0.2305741295826608,3396599,2
4126,3.1149539505574406,9.342219674486511,301.0,87.46970431410567,11.342704798836646,1.0421715947649055,0.1454192922927775,3396599,3
4484,2.7891614629794828,5.809526917019718,125.1,89.47368421052632,9.946476360392506,0.5129348795718109,0.06690454950936663,3396599,4
4649,3.0636480963648096,9.24284503163878,246.8,92.21337922133792,6.625080662508067,0.9679500967950098,0.19359001935900194,3396599,5
4615,34.449642470205845,68.85228812904256,972.9,50.76923076923077,23.878656554712894,15.059588299024917,10.292524377031418,3396599,6
4792,27.752107679465773,54.01049744266281,881.3,50.27128547579299,28.756260434056763,13.480801335559264,7.4916527545909855,3396599,7
5040,62.49577380952381,68.72478662666583,820.5,14.265873015873016,31.03174603174603,34.30555555555556,20.396825396825395,3396599,8
5040,59.69468253968255,69.36632248631408,1554.2,13.015873015873018,31.845238095238095,38.095238095238095,17.043650793650794,3396599,9
5039,63.656300853343915,91.36610489970043,1934.8,15.042667195872198,41.436793014487,21.79003770589403,21.730502083746774,3396599,10
5040,108.96085317460316,136.82870252021678,1741.5,8.452380952380953,24.98015873015873,25.396825396825395,41.17063492063492,3396599,11
5040,108.45178571428572,113.97876024090866,1624.1,6.785714285714286,18.511904761904763,32.16269841269842,42.53968253968254,3396599,12
5040,66.31650793650793,82.72637539777514,1087.4,19.90079365079365,29.226190476190478,27.24206349206349,23.63095238095238,3396599,13
5040,77.19027777777778,89.19799993175847,1143.0,10.595238095238095,31.587301587301585,29.72222222222222,28.095238095238095,3396599,14
5040,76.56736111111111,129.3491950073058,1762.6,16.130952380952383,32.242063492063494,26.091269841269842,25.535714285714285,3396599,15
5040,59.11763888888889,118.52160228731495,2538.4,26.884920634920633,34.682539682539684,20.357142857142858,18.075396825396826,3396599,16
5040,49.300912698412695,122.08828189578793,2056.3,44.02777777777778,27.48015873015873,14.424603174603174,14.067460317460318,3396599,17
5040,50.99472222222222,103.41954126806326,1796.6,35.45634920634921,31.607142857142854,16.924603174603174,16.01190476190476,3396599,18
5039,29.610319507838856,48.908785042608685,875.8,42.389362968843024,34.173447112522325,16.034927564993055,7.402262353641595,3396599,19
5040,23.177202380952384,45.02364889945075,576.3,51.60714285714286,32.06349206349206,10.257936507936508,6.071428571428571,3396599,20
5040,16.819583333333334,36.59881061598381,858.5,60.535714285714285,26.051587301587304,10.158730158730158,3.2539682539682544,3396599,21
5040,16.250813492063493,37.600739587357886,619.5,66.78571428571428,20.555555555555554,8.988095238095237,3.670634920634921,3396599,22
4042,11.233621969322119,38.23525104356403,673.4,86.24443344878773,6.382978723404255,4.082137555665512,3.290450272142504,3396599,23
