start_time,end_time,duration_minutes,mean_acceleration,max_acceleration,sample_count,participant_id,bout_type
2015-08-06 22:56:55,2015-08-06 23:37:20,40.5,1.1555555555555554,45.0,486,1067459,sedentary_bouts
2015-08-07 00:32:45,2015-08-07 01:06:10,33.5,0.73983286908078,18.9,402,1067459,sedentary_bouts
2015-08-07 02:30:10,2015-08-07 03:04:50,34.75,0.5568245125348189,25.3,417,1067459,sedentary_bouts
2015-08-07 03:39:10,2015-08-07 04:11:45,32.666666666666664,0.2993690851735016,46.6,392,1067459,sedentary_bouts
2015-08-07 05:24:25,2015-08-07 06:02:10,37.833333333333336,1.0092511013215857,5.2,454,1067459,sedentary_bouts
2015-08-07 06:51:45,2015-08-07 07:31:20,39.666666666666664,1.3858333333333335,27.7,476,1067459,sedentary_bouts
2015-08-08 02:08:15,2015-08-08 03:09:00,60.833333333333336,0.43690036900369006,8.1,730,1067459,sedentary_bouts
2015-08-08 04:28:55,2015-08-08 05:08:45,39.916666666666664,2.0031007751937984,12.3,479,1067459,sedentary_bouts
2015-08-08 05:42:25,2015-08-08 06:23:05,40.75,0.13175487465181057,19.4,489,1067459,sedentary_bouts
2015-08-09 00:55:45,2015-08-09 01:55:25,59.75,1.2463888888888888,15.2,717,1067459,sedentary_bouts
2015-08-09 02:45:10,2015-08-09 03:32:25,47.333333333333336,0.3782467532467533,29.8,568,1067459,sedentary_bouts
2015-08-09 23:22:10,2015-08-10 00:10:40,48.583333333333336,0.9850931677018633,25.0,583,1067459,sedentary_bouts
2015-08-10 04:36:50,2015-08-10 05:12:50,36.083333333333336,1.715561224489796,24.4,433,1067459,sedentary_bouts
2015-08-10 23:19:35,2015-08-11 00:04:05,44.583333333333336,1.6527777777777777,15.7,535,1067459,sedentary_bouts
2015-08-11 01:20:05,2015-08-11 01:51:35,31.583333333333332,1.4038327526132404,12.0,379,1067459,sedentary_bouts
2015-08-11 04:32:05,2015-08-11 05:19:25,47.416666666666664,0.8524999999999999,87.6,569,1067459,sedentary_bouts
2015-08-11 22:57:50,2015-08-11 23:51:20,53.583333333333336,1.7677419354838708,100.1,643,1067459,sedentary_bouts
2015-08-12 00:44:55,2015-08-12 01:37:45,52.916666666666664,2.450555555555556,53.6,635,1067459,sedentary_bouts
2015-08-12 04:16:15,2015-08-12 05:00:30,44.333333333333336,1.8440758293838864,46.9,532,1067459,sedentary_bouts
2015-08-12 23:29:00,2015-08-13 00:42:05,73.16666666666667,2.130956848030019,7.4,878,1067459,sedentary_bouts
2015-08-13 00:57:00,2015-08-13 01:27:50,30.916666666666668,1.4163636363636363,28.7,371,1067459,sedentary_bouts
2015-08-13 02:28:35,2015-08-13 03:12:30,44.0,2.0527777777777776,18.7,528,1067459,sedentary_bouts
2015-08-13 03:12:35,2015-08-13 03:48:45,36.25,3.275555555555555,5.9,435,1067459,sedentary_bouts
2015-08-13 05:02:30,2015-08-13 05:43:20,40.916666666666664,0.6637883008356547,14.5,491,1067459,sedentary_bouts
